f127.0.0.1:2222,127.0.0.1:1111	0	1	0	3791872439	0
f127.0.0.1:2222,127.0.0.1:1111	4	0
f127.0.0.1:1111,127.0.0.1:2222	5	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	5	0
f127.0.0.1:2222,127.0.0.1:1111	6	1	1307663799	4110382007	2
f127.0.0.1:2222,127.0.0.1:1111	10	0
f127.0.0.1:1111,127.0.0.1:2222	18	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	22	0
f127.0.0.1:2222,127.0.0.1:1111	23	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	31	0
f127.0.0.1:1111,127.0.0.1:2222	31	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	31	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	36	1
f127.0.0.1:2222,127.0.0.1:1111	37	2	0	2	4
f127.0.0.1:1111,127.0.0.1:2222	39	1
f127.0.0.1:2222,127.0.0.1:1111	39	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	41	1
f127.0.0.1:1111,127.0.0.1:2222	41	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	41	1
f127.0.0.1:1111,127.0.0.1:2222	41	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	41	2	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	46	1
f127.0.0.1:2222,127.0.0.1:1111	46	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	52	1
f127.0.0.1:1111,127.0.0.1:2222	53	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	53	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	53	2
f127.0.0.1:1111,127.0.0.1:2222	53	-1	7	0
f127.0.0.1:2222,127.0.0.1:1111	55	1
f127.0.0.1:1111,127.0.0.1:2222	58	0
f127.0.0.1:2222,127.0.0.1:1111	59	1	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	69	0
f127.0.0.1:1111,127.0.0.1:2222	1054	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1058	0
f127.0.0.1:2222,127.0.0.1:1111	1058	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	1063	0
f127.0.0.1:1111,127.0.0.1:2222	1063	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1063	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1067	1
f127.0.0.1:2222,127.0.0.1:1111	1067	2	0	5	4
f127.0.0.1:1111,127.0.0.1:2222	1071	1
f127.0.0.1:2222,127.0.0.1:1111	1071	0
f127.0.0.1:2222,127.0.0.1:1111	1072	1	0	6	4
f127.0.0.1:1111,127.0.0.1:2222	1072	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1076	1
f127.0.0.1:2222,127.0.0.1:1111	1076	0
f127.0.0.1:2222,127.0.0.1:1111	1076	1	0	7	4
f127.0.0.1:1111,127.0.0.1:2222	1076	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1076	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1080	2
f127.0.0.1:2222,127.0.0.1:1111	1080	1
f127.0.0.1:2222,127.0.0.1:1111	1080	2	0	8	4
f127.0.0.1:1111,127.0.0.1:2222	1081	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1084	2
f127.0.0.1:2222,127.0.0.1:1111	1092	3	0	9	4
f127.0.0.1:2222,127.0.0.1:1111	1093	2
f127.0.0.1:1111,127.0.0.1:2222	1093	1
f127.0.0.1:2222,127.0.0.1:1111	1093	2	0	10	4
f127.0.0.1:1111,127.0.0.1:2222	1093	3	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1097	2
f127.0.0.1:2222,127.0.0.1:1111	1098	3	0	11	4
f127.0.0.1:2222,127.0.0.1:1111	1101	2
f127.0.0.1:1111,127.0.0.1:2222	1101	3	12	0	3
f127.0.0.1:2222,127.0.0.1:1111	1101	2
f127.0.0.1:1111,127.0.0.1:2222	1102	3	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1102	4	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1105	3
